full_text,text_clean,token,stop,stemmed,untokenize_clean,label
@PartaiSocmed Sumber = tiktok TKN Prabowo Gibran https://t.co/NqoG3qEmmF,sumber tiktok tkn prabowo gibran,"['sumber', 'tiktok', 'tkn', 'prabowo', 'gibran']","['sumber', 'tiktok', 'tkn', 'prabowo', 'gibran']","['sumber', 'tiktok', 'tkn', 'prabowo', 'gibran']",sumber tiktok tkn prabowo gibran,negatif
Solidaritas positif Mantan Kepala Desa: Prabowo-Gibran adalah langkah maju. https://t.co/Yl5sxne1TN,solidaritas positif mantan kepala desa prabowogibran adalah langkah maju,"['solidaritas', 'positif', 'mantan', 'kepala', 'desa', 'prabowogibran', 'adalah', 'langkah', 'maju']","['solidaritas', 'positif', 'mantan', 'kepala', 'desa', 'prabowogibran', 'langkah', 'maju']","['solidaritas', 'positif', 'mantan', 'kepala', 'desa', 'prabowogibran', 'langkah', 'maju']",solidaritas positif mantan kepala desa prabowogibran langkah maju,positif
Keputusan mantan Kepala Desa: Prabowo-Gibran adalah jalan untuk perubahan yang kita inginkan https://t.co/3DbVB1a2NL,keputusan mantan kepala desa prabowogibran adalah jalan untuk perubahan yang kita inginkan,"['keputusan', 'mantan', 'kepala', 'desa', 'prabowogibran', 'adalah', 'jalan', 'untuk', 'perubahan', 'yang', 'kita', 'inginkan']","['keputusan', 'mantan', 'kepala', 'desa', 'prabowogibran', 'jalan', 'perubahan', 'inginkan']","['putus', 'mantan', 'kepala', 'desa', 'prabowogibran', 'jalan', 'ubah', 'ingin']",putus mantan kepala desa prabowogibran jalan ubah ingin,positif
Ahmad dhani kampanye PRABOWO GIBRAN 🫰🫰🫰🫰🫰🫰🫰 https://t.co/Vz0okM4TeL,ahmad dhani kampanye prabowo gibran,"['ahmad', 'dhani', 'kampanye', 'prabowo', 'gibran']","['ahmad', 'dhani', 'kampanye', 'prabowo', 'gibran']","['ahmad', 'dhani', 'kampanye', 'prabowo', 'gibran']",ahmad dhani kampanye prabowo gibran,positif
Pilihan optimis Mantan Kepala Desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/EAy81kN6et,pilihan optimis mantan kepala desa prabowogibran sebagai pemimpin perubahan positif,"['pilihan', 'optimis', 'mantan', 'kepala', 'desa', 'prabowogibran', 'sebagai', 'pemimpin', 'perubahan', 'positif']","['pilihan', 'optimis', 'mantan', 'kepala', 'desa', 'prabowogibran', 'pemimpin', 'perubahan', 'positif']","['pilih', 'optimis', 'mantan', 'kepala', 'desa', 'prabowogibran', 'pimpin', 'ubah', 'positif']",pilih optimis mantan kepala desa prabowogibran pimpin ubah positif,positif
Prabowo-Gibran diiringi oleh suara bulat ratusan mantan kades  membangun perubahan nyata. https://t.co/35Dg8DskDj,prabowogibran diiringi oleh suara bulat ratusan mantan kades membangun perubahan nyata,"['prabowogibran', 'diiringi', 'oleh', 'suara', 'bulat', 'ratusan', 'mantan', 'kades', 'membangun', 'perubahan', 'nyata']","['prabowogibran', 'diiringi', 'suara', 'bulat', 'ratusan', 'mantan', 'kades', 'membangun', 'perubahan', 'nyata']","['prabowogibran', 'iring', 'suara', 'bulat', 'ratus', 'mantan', 'kades', 'bangun', 'ubah', 'nyata']",prabowogibran iring suara bulat ratus mantan kades bangun ubah nyata,positif
Keputusan positif mantan pemimpin desa: Prabowo-Gibran sebagai pemimpin perubahan positif. https://t.co/5SsY2zwuw9,keputusan positif mantan pemimpin desa prabowogibran sebagai pemimpin perubahan positif,"['keputusan', 'positif', 'mantan', 'pemimpin', 'desa', 'prabowogibran', 'sebagai', 'pemimpin', 'perubahan', 'positif']","['keputusan', 'positif', 'mantan', 'pemimpin', 'desa', 'prabowogibran', 'pemimpin', 'perubahan', 'positif']","['putus', 'positif', 'mantan', 'pimpin', 'desa', 'prabowogibran', 'pimpin', 'ubah', 'positif']",putus positif mantan pimpin desa prabowogibran pimpin ubah positif,positif
Suara bulat ratusan mantan kades menciptakan harmoni  mendukung Prabowo-Gibran di Pilpres 2024. https://t.co/qGWwIBNQWL,suara bulat ratusan mantan kades menciptakan harmoni mendukung prabowogibran di pilpres,"['suara', 'bulat', 'ratusan', 'mantan', 'kades', 'menciptakan', 'harmoni', 'mendukung', 'prabowogibran', 'di', 'pilpres']","['suara', 'bulat', 'ratusan', 'mantan', 'kades', 'menciptakan', 'harmoni', 'mendukung', 'prabowogibran', 'pilpres']","['suara', 'bulat', 'ratus', 'mantan', 'kades', 'cipta', 'harmoni', 'dukung', 'prabowogibran', 'pilpres']",suara bulat ratus mantan kades cipta harmoni dukung prabowogibran pilpres,positif
Bersatunya mantan pemimpin desa demi perubahan yang lebih baik bersama Prabowo-Gibran. https://t.co/R6qXomBSoQ,bersatunya mantan pemimpin desa demi perubahan yang lebih baik bersama prabowogibran,"['bersatunya', 'mantan', 'pemimpin', 'desa', 'demi', 'perubahan', 'yang', 'lebih', 'baik', 'bersama', 'prabowogibran']","['bersatunya', 'mantan', 'pemimpin', 'desa', 'perubahan', 'lebih', 'baik', 'bersama', 'prabowogibran']","['satu', 'mantan', 'pimpin', 'desa', 'ubah', 'lebih', 'baik', 'sama', 'prabowogibran']",satu mantan pimpin desa ubah lebih baik sama prabowogibran,positif
Mantan Kepala Desa mendukung positif: Prabowo-Gibran sebagai pemimpin untuk perubahan yang lebih baik. https://t.co/v5DBFNnby8,mantan kepala desa mendukung positif prabowogibran sebagai pemimpin untuk perubahan yang lebih baik,"['mantan', 'kepala', 'desa', 'mendukung', 'positif', 'prabowogibran', 'sebagai', 'pemimpin', 'untuk', 'perubahan', 'yang', 'lebih', 'baik']","['mantan', 'kepala', 'desa', 'mendukung', 'positif', 'prabowogibran', 'pemimpin', 'perubahan', 'lebih', 'baik']","['mantan', 'kepala', 'desa', 'dukung', 'positif', 'prabowogibran', 'pimpin', 'ubah', 'lebih', 'baik']",mantan kepala desa dukung positif prabowogibran pimpin ubah lebih baik,positif
Mantan pemimpin desa berkomitmen untuk mendukung perubahan positif bersama Prabowo-Gibran. https://t.co/oVbZwgzzNc,mantan pemimpin desa berkomitmen untuk mendukung perubahan positif bersama prabowogibran,"['mantan', 'pemimpin', 'desa', 'berkomitmen', 'untuk', 'mendukung', 'perubahan', 'positif', 'bersama', 'prabowogibran']","['mantan', 'pemimpin', 'desa', 'berkomitmen', 'mendukung', 'perubahan', 'positif', 'bersama', 'prabowogibran']","['mantan', 'pimpin', 'desa', 'komitmen', 'dukung', 'ubah', 'positif', 'sama', 'prabowogibran']",mantan pimpin desa komitmen dukung ubah positif sama prabowogibran,positif
Mantan Kepala Desa bersama Prabowo-Gibran  karena kita percaya pada perubahan yang lebih baik https://t.co/hHyvUWqb5X,mantan kepala desa bersama prabowogibran karena kita percaya pada perubahan yang lebih baik,"['mantan', 'kepala', 'desa', 'bersama', 'prabowogibran', 'karena', 'kita', 'percaya', 'pada', 'perubahan', 'yang', 'lebih', 'baik']","['mantan', 'kepala', 'desa', 'bersama', 'prabowogibran', 'percaya', 'perubahan', 'lebih', 'baik']","['mantan', 'kepala', 'desa', 'sama', 'prabowogibran', 'percaya', 'ubah', 'lebih', 'baik']",mantan kepala desa sama prabowogibran percaya ubah lebih baik,positif
Ratusan mantan kades mengiringi Prabowo-Gibran  menciptakan narasi positif untuk Pilpres 2024 https://t.co/4hlmS3wDGf,ratusan mantan kades mengiringi prabowogibran menciptakan narasi positif untuk pilpres,"['ratusan', 'mantan', 'kades', 'mengiringi', 'prabowogibran', 'menciptakan', 'narasi', 'positif', 'untuk', 'pilpres']","['ratusan', 'mantan', 'kades', 'mengiringi', 'prabowogibran', 'menciptakan', 'narasi', 'positif', 'pilpres']","['ratus', 'mantan', 'kades', 'iring', 'prabowogibran', 'cipta', 'narasi', 'positif', 'pilpres']",ratus mantan kades iring prabowogibran cipta narasi positif pilpres,positif
Dukungan penuh dari mantan pemimpin desa: Prabowo-Gibran adalah solusi untuk perubahan positif. https://t.co/tDmL2aHm0i,dukungan penuh dari mantan pemimpin desa prabowogibran adalah solusi untuk perubahan positif,"['dukungan', 'penuh', 'dari', 'mantan', 'pemimpin', 'desa', 'prabowogibran', 'adalah', 'solusi', 'untuk', 'perubahan', 'positif']","['dukungan', 'penuh', 'mantan', 'pemimpin', 'desa', 'prabowogibran', 'solusi', 'perubahan', 'positif']","['dukung', 'penuh', 'mantan', 'pimpin', 'desa', 'prabowogibran', 'solusi', 'ubah', 'positif']",dukung penuh mantan pimpin desa prabowogibran solusi ubah positif,positif
Semangat segar mantan kades di Kota/Kabupaten Cirebon buat atmosfer positif untuk Prabowo-Gibran https://t.co/zQJzKZgwee,semangat segar mantan kades di kotakabupaten cirebon buat atmosfer positif untuk prabowogibran,"['semangat', 'segar', 'mantan', 'kades', 'di', 'kotakabupaten', 'cirebon', 'buat', 'atmosfer', 'positif', 'untuk', 'prabowogibran']","['semangat', 'segar', 'mantan', 'kades', 'kotakabupaten', 'cirebon', 'buat', 'atmosfer', 'positif', 'prabowogibran']","['semangat', 'segar', 'mantan', 'kades', 'kotakabupaten', 'cirebon', 'buat', 'atmosfer', 'positif', 'prabowogibran']",semangat segar mantan kades kotakabupaten cirebon buat atmosfer positif prabowogibran,positif
Kesatuan mantan pemimpin desa untuk perubahan positif: Prabowo-Gibran sebagai katalisator perubahan. https://t.co/0oUgi6JniP,kesatuan mantan pemimpin desa untuk perubahan positif prabowogibran sebagai katalisator perubahan,"['kesatuan', 'mantan', 'pemimpin', 'desa', 'untuk', 'perubahan', 'positif', 'prabowogibran', 'sebagai', 'katalisator', 'perubahan']","['kesatuan', 'mantan', 'pemimpin', 'desa', 'perubahan', 'positif', 'prabowogibran', 'katalisator', 'perubahan']","['satu', 'mantan', 'pimpin', 'desa', 'ubah', 'positif', 'prabowogibran', 'katalisator', 'ubah']",satu mantan pimpin desa ubah positif prabowogibran katalisator ubah,positif
"@jokowi Mentang² prabowo-gibran jadi capres-cawapres terus sering nyebut pagi"" #JokowiMalinKundang https://t.co/WR8oUg3q5c""",mentang prabowogibran jadi caprescawapres terus sering nyebut pagi,"['mentang', 'prabowogibran', 'jadi', 'caprescawapres', 'terus', 'sering', 'nyebut', 'pagi']","['mentang', 'prabowogibran', 'jadi', 'caprescawapres', 'terus', 'sering', 'nyebut', 'pagi']","['mentang', 'prabowogibran', 'jadi', 'caprescawapres', 'terus', 'sering', 'nyebut', 'pagi']",mentang prabowogibran jadi caprescawapres terus sering nyebut pagi,negatif
Prabowo-Gibran  memastikan setiap kebijakan tetap berpihak pada nilai-nilai kemanusiaan.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/aUM5os1D3v,prabowogibran memastikan setiap kebijakan tetap berpihak pada nilainilai kemanusiaan purnakuwu dukungpragibs,"['prabowogibran', 'memastikan', 'setiap', 'kebijakan', 'tetap', 'berpihak', 'pada', 'nilainilai', 'kemanusiaan', 'purnakuwu', 'dukungpragibs']","['prabowogibran', 'memastikan', 'kebijakan', 'tetap', 'berpihak', 'nilainilai', 'kemanusiaan', 'purnakuwu', 'dukungpragibs']","['prabowogibran', 'pasti', 'bijak', 'tetap', 'pihak', 'nilainilai', 'manusia', 'purnakuwu', 'dukungpragibs']",prabowogibran pasti bijak tetap pihak nilainilai manusia purnakuwu dukungpragibs,positif
Optimalisasi Program Jokowi  Prabowo-Gibran Berkomitmen untuk Melanjutkan  https://t.co/CkSyq62xCQ,optimalisasi program jokowi prabowogibran berkomitmen untuk melanjutkan,"['optimalisasi', 'program', 'jokowi', 'prabowogibran', 'berkomitmen', 'untuk', 'melanjutkan']","['optimalisasi', 'program', 'jokowi', 'prabowogibran', 'berkomitmen', 'melanjutkan']","['optimalisasi', 'program', 'jokowi', 'prabowogibran', 'komitmen', 'lanjut']",optimalisasi program jokowi prabowogibran komitmen lanjut,positif
Prabowo-Gibran  garda terdepan dalam memperjuangkan hak asasi manusia di Indonesia.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/FNg3rm3ytL,prabowogibran garda terdepan dalam memperjuangkan hak asasi manusia di indonesia purnakuwu dukungpragibs,"['prabowogibran', 'garda', 'terdepan', 'dalam', 'memperjuangkan', 'hak', 'asasi', 'manusia', 'di', 'indonesia', 'purnakuwu', 'dukungpragibs']","['prabowogibran', 'garda', 'terdepan', 'memperjuangkan', 'hak', 'asasi', 'manusia', 'indonesia', 'purnakuwu', 'dukungpragibs']","['prabowogibran', 'garda', 'depan', 'juang', 'hak', 'asasi', 'manusia', 'indonesia', 'purnakuwu', 'dukungpragibs']",prabowogibran garda depan juang hak asasi manusia indonesia purnakuwu dukungpragibs,positif
Prabowo - Gibran seolah lupa  rakyat Jawa Tengah punya mata dan telinga untuk melihat dan mendengar kebenaran @adam_habibsuku  https://t.co/l2gikIJtbS,prabowo gibran seolah lupa rakyat jawa tengah punya mata dan telinga untuk melihat dan mendengar kebenaran,"['prabowo', 'gibran', 'seolah', 'lupa', 'rakyat', 'jawa', 'tengah', 'punya', 'mata', 'dan', 'telinga', 'untuk', 'melihat', 'dan', 'mendengar', 'kebenaran']","['prabowo', 'gibran', 'lupa', 'rakyat', 'jawa', 'tengah', 'punya', 'mata', 'telinga', 'melihat', 'mendengar', 'kebenaran']","['prabowo', 'gibran', 'lupa', 'rakyat', 'jawa', 'tengah', 'punya', 'mata', 'telinga', 'lihat', 'dengar', 'benar']",prabowo gibran lupa rakyat jawa tengah punya mata telinga lihat dengar benar,negatif
Prabowo - Gibran  jangan membuat pilpres seperti pertunjukan sulap  di mana segalanya bisa berubah tanpa alasan yang jelas @bayu_isWIND  https://t.co/L42uIHpHuP,prabowo gibran jangan membuat pilpres seperti pertunjukan sulap di mana segalanya bisa berubah tanpa alasan yang jelas,"['prabowo', 'gibran', 'jangan', 'membuat', 'pilpres', 'seperti', 'pertunjukan', 'sulap', 'di', 'mana', 'segalanya', 'bisa', 'berubah', 'tanpa', 'alasan', 'yang', 'jelas']","['prabowo', 'gibran', 'jangan', 'membuat', 'pilpres', 'pertunjukan', 'sulap', 'mana', 'segalanya', 'berubah', 'alasan', 'jelas']","['prabowo', 'gibran', 'jangan', 'buat', 'pilpres', 'tunjuk', 'sulap', 'mana', 'segala', 'ubah', 'alas', 'jelas']",prabowo gibran jangan buat pilpres tunjuk sulap mana segala ubah alas jelas,negatif
Hanya Anies-Cak Imin yang Kritik IKN  Ganjar-Mahfud dan Prabowo-Gibran Sepakat Melanjutkan - https://t.co/uvpCdL6Uy1,hanya aniescak imin yang kritik ikn ganjarmahfud dan prabowogibran sepakat melanjutkan,"['hanya', 'aniescak', 'imin', 'yang', 'kritik', 'ikn', 'ganjarmahfud', 'dan', 'prabowogibran', 'sepakat', 'melanjutkan']","['aniescak', 'imin', 'kritik', 'ikn', 'ganjarmahfud', 'prabowogibran', 'sepakat', 'melanjutkan']","['aniescak', 'imin', 'kritik', 'ikn', 'ganjarmahfud', 'prabowogibran', 'sepakat', 'lanjut']",aniescak imin kritik ikn ganjarmahfud prabowogibran sepakat lanjut,positif
Mantan Kades di Cirebon solid  pilih Prabowo-Gibran untuk kesejahteraan!   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/MGJEcqNexM,mantan kades di cirebon solid pilih prabowogibran untuk kesejahteraan purnakuwu dukungpragibs,"['mantan', 'kades', 'di', 'cirebon', 'solid', 'pilih', 'prabowogibran', 'untuk', 'kesejahteraan', 'purnakuwu', 'dukungpragibs']","['mantan', 'kades', 'cirebon', 'solid', 'pilih', 'prabowogibran', 'kesejahteraan', 'purnakuwu', 'dukungpragibs']","['mantan', 'kades', 'cirebon', 'solid', 'pilih', 'prabowogibran', 'sejahtera', 'purnakuwu', 'dukungpragibs']",mantan kades cirebon solid pilih prabowogibran sejahtera purnakuwu dukungpragibs,positif
Kontribusi penting dalam membangun kemenangan Prabowo-Gibran di tingkat lokal.   #Parlemen404 PurnaKuwu DukungPragibs https://t.co/RKeS5ltXmn,kontribusi penting dalam membangun kemenangan prabowogibran di tingkat lokal purnakuwu dukungpragibs,"['kontribusi', 'penting', 'dalam', 'membangun', 'kemenangan', 'prabowogibran', 'di', 'tingkat', 'lokal', 'purnakuwu', 'dukungpragibs']","['kontribusi', 'penting', 'membangun', 'kemenangan', 'prabowogibran', 'tingkat', 'lokal', 'purnakuwu', 'dukungpragibs']","['kontribusi', 'penting', 'bangun', 'menang', 'prabowogibran', 'tingkat', 'lokal', 'purnakuwu', 'dukungpragibs']",kontribusi penting bangun menang prabowogibran tingkat lokal purnakuwu dukungpragibs,positif
