"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Tue Dec 12 00:21:55 +0000 2023","1734367943969103973","Di forum debat  prediksi saya:  Prabowo akan dihabisi Anies dan Ganjar.   Gibran akan dihabisi Muhaimin dan Mahfud.  Prabowo-Gibran kalau bicara dan tampil di muka publik nggak bisa bagus. Malah sering blunder.  Menghadapi para aktivis lulusan UGM dengan pengalaman yang tak perlu…","105","471","564","3774","in","185156524","1734367943969103973","hasyimmah","https://twitter.com/hasyimmah/status/1734367943969103973","","Mojokerto"
"Fri Dec 08 04:31:47 +0000 2023","1732981273663311930","Ganjar punya integritas tinggi  ga kayak Gibran yang sering bikin blunder dan ga bertanggung jawab. @Cardano_ID  https://t.co/OW0Uu3RrwP","0","0","0","0","in","1680850764024143873","1732981273663311930","SalmaMauliida","https://twitter.com/SalmaMauliida/status/1732981273663311930","","Probolinggo"
"Fri Dec 08 04:41:21 +0000 2023","1732983681650917524","Ganjar itu pemimpin yang bisa dipercaya  ga kayak Gibran yang sering bikin blunder. @belahdua_  https://t.co/iIjISLfCWL","0","0","0","0","in","1683690820938121218","1732983681650917524","Aprilia6pus","https://twitter.com/Aprilia6pus/status/1732983681650917524","","Surabaya"
"Fri Dec 08 03:52:12 +0000 2023","1732971310022799361","Ganjar memang beda  fokus pada aksi nyata buat rakyat  bukan blunder seperti Gibran yang bikin malu. @pawsbakedpan  https://t.co/DNbKzdF3eD","0","0","0","0","in","1680840488172261376","1732971310022799361","IrwanRiianto","https://twitter.com/IrwanRiianto/status/1732971310022799361","","Malang"
"Fri Dec 08 03:21:48 +0000 2023","1732963662238032009","Ganjar memang beda  fokus pada program nyata untuk kesejahteraan rakyat  bukan sekadar bikin sensasi seperti Gibran yang terus bikin blunder. @jekibolot  https://t.co/ENWyrwX6Kn","0","0","0","0","in","1679756778291232768","1732963662238032009","Ahmad5Susanto","https://twitter.com/Ahmad5Susanto/status/1732963662238032009","","Pasuruan"
"Fri Dec 08 03:48:38 +0000 2023","1732970414362792165","Stunting bukan asam sulfat  Ganjar jelas paham. Beda banget sama Gibran yang blunder sebut asam folat. @pawsychiatrist  https://t.co/URAdu4A66F","0","0","0","0","in","1681969319159402496","1732970414362792165","kbayu0114","https://twitter.com/kbayu0114/status/1732970414362792165","","Kediri"
"Fri Dec 08 03:05:47 +0000 2023","1732959632208117962","Ganjar adalah contoh pemimpin yang bersih dan transparan  berbeda dengan Gibran yang terus membuat blunder dan tidak dapat mempertanggungjawabkan tindakannya. @kizaarmada  https://t.co/OW0Uu3RrwP","0","0","0","0","in","1680850764024143873","1732959632208117962","SalmaMauliida","https://twitter.com/SalmaMauliida/status/1732959632208117962","","Probolinggo"
"Fri Dec 08 03:39:30 +0000 2023","1732968115494113390","Warga Jawa Barat percaya pada kebijakan yang dibuat oleh Ganjar  tidak seperti Gibran yang terlalu sering blunder. Ganjar  pilihan yang mantap untuk memimpin Indonesia! @popbrengsek  https://t.co/EzzfgPdiVq","0","0","0","0","in","1688457532422119424","1732968115494113390","ikanafiyyah","https://twitter.com/ikanafiyyah/status/1732968115494113390","","Blitar"
"Fri Dec 08 03:08:00 +0000 2023","1732960188842627201","Ganjar jelas-jelas menunjukkan kepeduliannya terhadap isu stunting  sementara Gibran hanya membuat blunder dengan menyebut asam folat sebagai asam sulfat. Pemahaman yang jelas tentang masalah kesehatan ini menjadi nilai tambah Ganjar di mata kami. https://t.co/EqDVGIG3Uh","0","0","0","0","in","1680846653060939776","1732960188842627201","ErwinWiijayaa","https://twitter.com/ErwinWiijayaa/status/1732960188842627201","","Pasuruan"
"Fri Dec 08 03:20:33 +0000 2023","1732963345995894917","Warga Jawa Barat yakin  dengan Ganjar sebagai calon presiden  kita akan memiliki pemimpin yang fokus pada penyelesaian masalah nyata  tidak seperti Gibran yang selalu membuat blunder. @merahmerano https://t.co/f2sedUVyQ5","0","0","0","0","in","1686203121729716224","1732963345995894917","kevindimas86767","https://twitter.com/kevindimas86767/status/1732963345995894917","","Pasuruan"
